calls_ivr_id,calls_phone_number,repeated_phone_24H,cause_recall_phone_24H
1670839822,NULL,1,1
1670839822,NULL,1,1
1670839822,NULL,1,1
1670839822,NULL,1,1
1670839822,NULL,1,1
1670839822,NULL,1,1
1670839822,NULL,1,1
1670839822,NULL,1,1
1670839822,NULL,1,1
1670839822,NULL,1,1
1670839822,NULL,1,1
1670839822,NULL,1,1
1670839822,NULL,1,1
1670839822,NULL,1,1
1671532869,NULL,1,1
1671532869,NULL,1,1
1671532869,NULL,1,1
1671532869,NULL,1,1
1671532869,NULL,1,1
1671532869,NULL,1,1
1671532869,NULL,1,1
1671532869,NULL,1,1
1671532869,NULL,1,1
1671532869,NULL,1,1
1671532869,NULL,1,1
1671532869,NULL,1,1
1671532869,NULL,1,1
1671532869,NULL,1,1
1670939616,NULL,1,1
1670939616,NULL,1,1
1670939616,NULL,1,1
1670939616,NULL,1,1
1670939616,NULL,1,1
1670939616,NULL,1,1
1670939616,NULL,1,1
1670939616,NULL,1,1
1670939616,NULL,1,1
1670939616,NULL,1,1
1670939616,NULL,1,1
1670939616,NULL,1,1
1670939616,NULL,1,1
1670939616,NULL,1,1
1670939616,NULL,1,1
1670939616,NULL,1,1
1670921148,NULL,1,1
1670921148,NULL,1,1
1670921148,NULL,1,1
1670921148,NULL,1,1
1670921148,NULL,1,1
1670921148,NULL,1,1
1670921148,NULL,1,1
1670921148,NULL,1,1
1670921148,NULL,1,1
1670921148,NULL,1,1
1670921148,NULL,1,1
1670921148,NULL,1,1
1670921148,NULL,1,1
1670921148,NULL,1,1
1670921148,NULL,1,1
1670921148,NULL,1,1
1671191196,NULL,1,1
1671191196,NULL,1,1
1671191196,NULL,1,1
1671191196,NULL,1,1
1671191196,NULL,1,1
1671191196,NULL,1,1
1671191196,NULL,1,1
1671191196,NULL,1,1
1671191196,NULL,1,1
1671191196,NULL,1,1
1671191196,NULL,1,1
1671191196,NULL,1,1
1671191196,NULL,1,1
1671191196,NULL,1,1
1670928350,NULL,1,1
1670928350,NULL,1,1
1670928350,NULL,1,1
1670928350,NULL,1,1
1670928350,NULL,1,1
1670928350,NULL,1,1
1670928350,NULL,1,1
1670928350,NULL,1,1
1670928350,NULL,1,1
1670928350,NULL,1,1
1670928350,NULL,1,1
1670928350,NULL,1,1
1670928350,NULL,1,1
1670928350,NULL,1,1
1670928350,NULL,1,1
1670928350,NULL,1,1
1671041715,NULL,1,1
1671041715,NULL,1,1
1671041715,NULL,1,1
1671041715,NULL,1,1
1671041715,NULL,1,1
1671041715,NULL,1,1
1671041715,NULL,1,1
1671041715,NULL,1,1
1671041715,NULL,1,1
1671041715,NULL,1,1
1671041715,NULL,1,1
1671041715,NULL,1,1
1671129336,NULL,1,1
1671129336,NULL,1,1
1671129336,NULL,1,1
1671129336,NULL,1,1
1671129336,NULL,1,1
1671129336,NULL,1,1
1671129336,NULL,1,1
1671129336,NULL,1,1
1671129336,NULL,1,1
1671129336,NULL,1,1
1671129336,NULL,1,1
1671129336,NULL,1,1
1671129336,NULL,1,1
1671129336,NULL,1,1
1671043702,NULL,1,1
1671043702,NULL,1,1
1671043702,NULL,1,1
1671043702,NULL,1,1
1671043702,NULL,1,1
1671043702,NULL,1,1
1671043702,NULL,1,1
1671043702,NULL,1,1
1671043702,NULL,1,1
1671043702,NULL,1,1
1671043702,NULL,1,1
1671043702,NULL,1,1
1671043702,NULL,1,1
1671043702,NULL,1,1
1671043702,NULL,1,1
1671043702,NULL,1,1
1670871680,NULL,1,1
1670871680,NULL,1,1
1670871680,NULL,1,1
1670871680,NULL,1,1
1670871680,NULL,1,1
1670871680,NULL,1,1
1670871680,NULL,1,1
1670871680,NULL,1,1
1670871680,NULL,1,1
1670871680,NULL,1,1
1670871680,NULL,1,1
1670871680,NULL,1,1
1670871680,NULL,1,1
1670871680,NULL,1,1
1670871680,NULL,1,1
1670871680,NULL,1,1
1671110733,NULL,1,1
1671110733,NULL,1,1
1671110733,NULL,1,1
1671110733,NULL,1,1
1671110733,NULL,1,1
1671110733,NULL,1,1
1671110733,NULL,1,1
1671110733,NULL,1,1
1671110733,NULL,1,1
1671110733,NULL,1,1
1671110733,NULL,1,1
1671110733,NULL,1,1
1671110733,NULL,1,1
1671110733,NULL,1,1
1671110733,NULL,1,1
1671110733,NULL,1,1
1671110733,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1670933814,NULL,1,1
1671444322,NULL,1,1
1671444322,NULL,1,1
1671444322,NULL,1,1
1671444322,NULL,1,1
1671444322,NULL,1,1
1671444322,NULL,1,1
1671444322,NULL,1,1
1671444322,NULL,1,1
1671444322,NULL,1,1
1671444322,NULL,1,1
1671444322,NULL,1,1
1671036857,NULL,1,1
1671036857,NULL,1,1
1671036857,NULL,1,1
1671036857,NULL,1,1
1671036857,NULL,1,1
1671036857,NULL,1,1
1671036857,NULL,1,1
1671036857,NULL,1,1
1671036857,NULL,1,1
1671036857,NULL,1,1
1671036857,NULL,1,1
1671036857,NULL,1,1
1671036857,NULL,1,1
1671177878,NULL,1,1
1671177878,NULL,1,1
1671177878,NULL,1,1
1671177878,NULL,1,1
1671177878,NULL,1,1
1671177878,NULL,1,1
1671177878,NULL,1,1
1671177878,NULL,1,1
1671177878,NULL,1,1
1671177878,NULL,1,1
1671177878,NULL,1,1
1671177878,NULL,1,1
1671177878,NULL,1,1
1671031791,NULL,1,1
1671031791,NULL,1,1
1671031791,NULL,1,1
1671031791,NULL,1,1
1671031791,NULL,1,1
1671031791,NULL,1,1
1671031791,NULL,1,1
1671031791,NULL,1,1
1671031791,NULL,1,1
1671031791,NULL,1,1
1671031791,NULL,1,1
1671031791,NULL,1,1
1671031791,NULL,1,1
1671031791,NULL,1,1
1671031791,NULL,1,1
1671031791,NULL,1,1
1671031791,NULL,1,1
1671129642,NULL,1,1
1671129642,NULL,1,1
1671129642,NULL,1,1
1671129642,NULL,1,1
1671129642,NULL,1,1
1671129642,NULL,1,1
1671129642,NULL,1,1
1671129642,NULL,1,1
1671129642,NULL,1,1
1671129642,NULL,1,1
1671129642,NULL,1,1
1671129642,NULL,1,1
1671129642,NULL,1,1
1671129642,NULL,1,1
1671129642,NULL,1,1
1671129642,NULL,1,1
1671129642,NULL,1,1
1671208755,NULL,1,1
1671208755,NULL,1,1
1671208755,NULL,1,1
1671208755,NULL,1,1
1671208755,NULL,1,1
1671208755,NULL,1,1
1671208755,NULL,1,1
1671208755,NULL,1,1
1671208755,NULL,1,1
1671208755,NULL,1,1
1671208755,NULL,1,1
1671208755,NULL,1,1
1671208755,NULL,1,1
1671208755,NULL,1,1
1671208755,NULL,1,1
1671208755,NULL,1,1
1671208755,NULL,1,1
1671449440,NULL,1,1
1671449440,NULL,1,1
1671449440,NULL,1,1
1671449440,NULL,1,1
1671449440,NULL,1,1
1671449440,NULL,1,1
1671449440,NULL,1,1
1671449440,NULL,1,1
1671449440,NULL,1,1
1671449440,NULL,1,1
1671449440,NULL,1,1
1671449440,NULL,1,1
1671449440,NULL,1,1
1671449440,NULL,1,1
1671449440,NULL,1,1
1671449440,NULL,1,1
1671028249,NULL,1,1
1671028249,NULL,1,1
1671028249,NULL,1,1
1671028249,NULL,1,1
1671028249,NULL,1,1
1671028249,NULL,1,1
1671028249,NULL,1,1
1671028249,NULL,1,1
1671028249,NULL,1,1
1671028249,NULL,1,1
1671028249,NULL,1,1
1671028249,NULL,1,1
1671028249,NULL,1,1
1671028249,NULL,1,1
1671028249,NULL,1,1
1671028249,NULL,1,1
1671126773,NULL,1,1
1671126773,NULL,1,1
1671126773,NULL,1,1
1671126773,NULL,1,1
1671126773,NULL,1,1
1671126773,NULL,1,1
1671126773,NULL,1,1
1671126773,NULL,1,1
1671126773,NULL,1,1
1671126773,NULL,1,1
1671126773,NULL,1,1
1671126773,NULL,1,1
1671126773,NULL,1,1
1671126773,NULL,1,1
1671126773,NULL,1,1
1671126773,NULL,1,1
1671106795,NULL,1,1
1671106795,NULL,1,1
1671106795,NULL,1,1
1671106795,NULL,1,1
1671106795,NULL,1,1
1671106795,NULL,1,1
1671106795,NULL,1,1
1671106795,NULL,1,1
1671106795,NULL,1,1
1671106795,NULL,1,1
1671106795,NULL,1,1
1671106795,NULL,1,1
1671106795,NULL,1,1
1671106795,NULL,1,1
1671106795,NULL,1,1
1671106795,NULL,1,1
1671106795,NULL,1,1
1671044203,NULL,1,1
1671044203,NULL,1,1
1671044203,NULL,1,1
1671044203,NULL,1,1
1671044203,NULL,1,1
1670874777,NULL,1,1
1670874777,NULL,1,1
1670874777,NULL,1,1
1670874777,NULL,1,1
1670874777,NULL,1,1
1670874777,NULL,1,1
1670874777,NULL,1,1
1670874777,NULL,1,1
1670874777,NULL,1,1
1670874777,NULL,1,1
1670874777,NULL,1,1
1670874777,NULL,1,1
1670874777,NULL,1,1
1670874777,NULL,1,1
1670874777,NULL,1,1
1670874777,NULL,1,1
1670872244,NULL,1,1
1670872244,NULL,1,1
1670872244,NULL,1,1
1670872244,NULL,1,1
1670872244,NULL,1,1
1670872244,NULL,1,1
1670872244,NULL,1,1
1670872244,NULL,1,1
1670872244,NULL,1,1
1670872244,NULL,1,1
1670872244,NULL,1,1
1670872244,NULL,1,1
1670872244,NULL,1,1
1670872244,NULL,1,1
1670872244,NULL,1,1
1670872244,NULL,1,1
1670872244,NULL,1,1
1670872244,NULL,1,1
1670934819,NULL,1,1
1670934819,NULL,1,1
1670934819,NULL,1,1
1670934819,NULL,1,1
1670934819,NULL,1,1
1670934819,NULL,1,1
1670934819,NULL,1,1
1670934819,NULL,1,1
1670934819,NULL,1,1
1670934819,NULL,1,1
1670934819,NULL,1,1
1670934819,NULL,1,1
1670934819,NULL,1,1
1670934819,NULL,1,1
1670934819,NULL,1,1
1670934819,NULL,1,1
1670934819,NULL,1,1
1670837194,NULL,1,1
1670837194,NULL,1,1
1670837194,NULL,1,1
1670837194,NULL,1,1
1670837194,NULL,1,1
1670837194,NULL,1,1
1670837194,NULL,1,1
1670837194,NULL,1,1
1670837194,NULL,1,1
1670837194,NULL,1,1
1670837194,NULL,1,1
1670837194,NULL,1,1
1670837194,NULL,1,1
1670837194,NULL,1,1
1670837194,NULL,1,1
1670837194,NULL,1,1
1670837194,NULL,1,1
1670943288,NULL,1,1
1670943288,NULL,1,1
1670943288,NULL,1,1
1670943288,NULL,1,1
1670943288,NULL,1,1
1670943288,NULL,1,1
1670943288,NULL,1,1
1670943288,NULL,1,1
1670943288,NULL,1,1
1670943288,NULL,1,1
1670943288,NULL,1,1
1670943288,NULL,1,1
1670943288,NULL,1,1
1670943288,NULL,1,1
1670943288,NULL,1,1
1670943288,NULL,1,1
1671043138,NULL,1,1
1671043138,NULL,1,1
1671043138,NULL,1,1
1671043138,NULL,1,1
1671043138,NULL,1,1
1671043138,NULL,1,1
1671043138,NULL,1,1
1671043138,NULL,1,1
1671043138,NULL,1,1
1671043138,NULL,1,1
1671043138,NULL,1,1
1671043138,NULL,1,1
1671043138,NULL,1,1
1671043138,NULL,1,1
1671043138,NULL,1,1
1671043138,NULL,1,1
1670854356,NULL,1,1
1670854356,NULL,1,1
1670854356,NULL,1,1
1670854356,NULL,1,1
1670854356,NULL,1,1
1671531332,NULL,1,1
1671531332,NULL,1,1
1671531332,NULL,1,1
1671531332,NULL,1,1
1671531332,NULL,1,1
1671022001,NULL,1,1
1671022001,NULL,1,1
1671022001,NULL,1,1
1671022001,NULL,1,1
1671022001,NULL,1,1
1671022001,NULL,1,1
1671022001,NULL,1,1
1671022001,NULL,1,1
1671022001,NULL,1,1
1671022001,NULL,1,1
1671022001,NULL,1,1
1671022001,NULL,1,1
1671022001,NULL,1,1
1671022001,NULL,1,1
1671022001,NULL,1,1
1671022001,NULL,1,1
1671022001,NULL,1,1
1671049049,NULL,1,1
1671049049,NULL,1,1
1671049049,NULL,1,1
1671049049,NULL,1,1
1671049049,NULL,1,1
1671049049,NULL,1,1
1671049049,NULL,1,1
1671049049,NULL,1,1
1671049049,NULL,1,1
1671049049,NULL,1,1
1671049049,NULL,1,1
1671049049,NULL,1,1
1671049049,NULL,1,1
1671009467,NULL,1,1
1671009467,NULL,1,1
1671009467,NULL,1,1
1671009467,NULL,1,1
1671009467,NULL,1,1
1671009467,NULL,1,1
1671009467,NULL,1,1
1671009467,NULL,1,1
1671009467,NULL,1,1
1671009467,NULL,1,1
1671009467,NULL,1,1
1671470647,NULL,1,1
1671470647,NULL,1,1
1671470647,NULL,1,1
1671470647,NULL,1,1
1671470647,NULL,1,1
1671470647,NULL,1,1
1671470647,NULL,1,1